ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
2261	11	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
2262	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2263	16	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2264	31	1	1	0.000000	2.096774	2.096774	0.000000	0.000000	0	0	0
2265	14	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2266	16	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2267	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2268	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2269	16	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2270	17	2	1	0.000000	2.647059	2.647059	0.000000	0.000000	0	0	0
2271	14	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2272	28	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2273	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2274	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2275	6	2	2	0.000000	2.500000	2.500000	0.000000	0.000000	0	0	0
2276	17	1	1	0.000000	1.117647	1.117647	0.000000	0.000000	0	0	0
2277	43	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2278	25	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2279	65	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2280	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2281	56	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2282	31	1	1	0.000000	1.354839	1.354839	0.000000	0.000000	0	0	0
2283	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2284	20	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2285	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2286	73	1	1	0.000000	1.232877	1.232877	0.000000	0.000000	0	0	0
2287	2	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2288	13	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2289	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2290	32	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2291	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2292	4	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2293	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
2294	51	1	1	0.000000	1.392157	1.392157	0.000000	0.000000	0	0	0
2295	2	2	1	0.000000	50.000000	4.000000	0.000000	0.000000	0	0	0
2296	31	1	1	0.000000	1.806452	1.806452	0.000000	0.000000	0	0	0
